imagelink,imagelink-href,title,artist,country,height,width,price,views,favorites,subject,mediums,date
"Fishing Boat, Seascape oil painting, hand painted, One of a Kind","https://www.saatchiart.com/art/Painting-Fishing-Boat-Seascape-oil-painting-hand-painted-One-of-a-Kind/503607/3493412/view","Fishing Boat, Seascape oil painting, hand painted, One of a Kind","Vahe Yeremyan","United States","14","14","295","164","13","Seascape","Oil","1483228800000"
"Sparkling City","https://www.saatchiart.com/art/Painting-Sparkling-City/710107/3470856/view","Sparkling City","Tatiana Iliina","Canada","20","16","300","143","6","Cities","Acrylic","1483228800000"
"well wall II, nettle","https://www.saatchiart.com/art/Painting-well-wall-II-nettle/10605/3482959/view","well wall II, nettle","Olha Pryymak","","10","8","295","34","3","Portrait","Oil, Acrylic, Paint","1483228800000"
"Mess","https://www.saatchiart.com/art/Painting-Mess/10411/3271670/view","Mess","Simon Hopkinson","United Kingdom","11","11","290","467","16","Landscape","Acrylic","1451606400000"
"TWINS","https://www.saatchiart.com/art/Painting-TWINS/784339/2958292/view","TWINS","Eva Fialka","France","6","9","135","428","21","Cats","Gouache, Watercolor, Paper","1451606400000"
"The Garden","https://www.saatchiart.com/art/Painting-The-Garden/905123/3235466/view","The Garden","David Maxwell","United Kingdom","20","16","290","141","5","Garden","Acrylic, Pastel","1451606400000"
"Squares","https://www.saatchiart.com/art/Painting-Squares/792144/2793333/view","Squares","Elyce Abrams","United States","12","12","290","654","17","Abstract","Acrylic","1453161600000"
"Sullen","https://www.saatchiart.com/art/Painting-Sullen/833929/3200442/view","Sullen","Elizabeth Becker","United States","9","12","260","269","14","People","Watercolor","1451606400000"
"Titanium no.7","https://www.saatchiart.com/art/Painting-Titanium-no-7/809677/3342045/view","Titanium no.7","Arthur Soletskyi","Ukraine","23","23","330","321","31","Abstract","Acrylic","1451606400000"
"Sitting people III","https://www.saatchiart.com/art/Painting-Sitting-people-III/426628/2596514/view","Sitting people III","Szabrina Maharita","Hungary","8","11","290","458","14","People","Watercolor","1439510400000"
"Bowls and Birchbark","https://www.saatchiart.com/art/Painting-Bowls-and-Birchbark/426258/2686237/view","Bowls and Birchbark","Laurie Foote","Canada","14","11","290","629","20","Still Life","Oil","1440201600000"
"VERDANT FIELD","https://www.saatchiart.com/art/Painting-VERDANT-FIELD/427067/3200998/view","VERDANT FIELD","Emilia Milcheva","Bulgaria","19","19","280","157","15","Landscape","Oil","1451606400000"
"As For The Past","https://www.saatchiart.com/art/Painting-As-For-The-Past/409703/2815985/view","As For The Past","Melissa McGill","United States","26","20","280","830","30","Abstract","Acrylic","1454284800000"
"Nude 2, series Human Comedy","https://www.saatchiart.com/art/Painting-Nude-2-series-Human-Comedy/326155/162286/view","Nude 2, series Human Comedy","Daniela Bellotti","Italy","7","5","240","1556","13","Nude","Pen and Ink","946684800000"
"Burning Legend","https://www.saatchiart.com/art/Painting-Burning-Legend/774244/3382553/view","Burning Legend","krista may","United States","16","20","325","122","5","Cats","Acrylic","1483228800000"
"Silence","https://www.saatchiart.com/art/Painting-Silence/851978/2999447/view","Silence","Alicia Chimento","United States","12","12","290","113","4","Landscape","Oil","1420070400000"
"Stepping Stone 13","https://www.saatchiart.com/art/Painting-Stepping-Stone-13/890187/3263268/view","Stepping Stone 13","Jae Schalekamp","United States","12","12","240","211","12","Nature","Acrylic, Gesso","1451606400000"
"Ovis 4","https://www.saatchiart.com/art/Painting-Ovis-4/700719/2884417/view","Ovis 4","Will Eskridge","United States","10","8","145","578","11","Animal","Spray Paint","1456358400000"
"Blue spring","https://www.saatchiart.com/art/Painting-Blue-spring/92802/3469146/view","Blue spring","Elena Oleniuc","Romania","11","13","200","60","7","Floral","Acrylic","1483228800000"
"Aura","https://www.saatchiart.com/art/Painting-Aura/833929/3496261/view","Aura","Elizabeth Becker","United States","10","8","295","62","6","Portrait","Watercolor","1483228800000"
"Argus2","https://www.saatchiart.com/art/Painting-Argus2/788456/2515124/view","Argus2","Tiago Barzana","","12","9","290","601","11","Outer Space","Oil","1431302400000"
"Tatiana","https://www.saatchiart.com/art/Painting-Tatiana/716816/3045036/view","Tatiana","Maria Iciak","Poland","12","9","240","446","26","Nude","Watercolor","1420070400000"
"heavenly landscape","https://www.saatchiart.com/art/Painting-heavenly-landscape/481815/2733044/view","heavenly landscape","Konrad Biro","","11","9","240","1202","44","Abstract","Oil","1449360000000"
"All at Sea","https://www.saatchiart.com/art/Painting-All-at-Sea/815687/3470195/view","All at Sea","Abigail Bowen","United Kingdom","12","12","240","50","5","Abstract","Oil, Pastel","1451606400000"
"Gap","https://www.saatchiart.com/art/Painting-Gap/936658/3279067/view","Gap","Brian Wiggins","United States","14","11","235","2017","13","Abstract","Gouache","1451260800000"
"#78 of 100paintings project","https://www.saatchiart.com/art/Painting-78-of-100paintings-project/792144/3127624/view","#78 of 100paintings project","Elyce Abrams","United States","12","12","290","342","14","Abstract","Acrylic","1451606400000"
"Sustainable gaze 1","https://www.saatchiart.com/art/Painting-Sustainable-gaze-1/337243/3267220/view","Sustainable gaze 1","Dario Moschetta","Italy","15","13","304","485","9","Portrait","Acrylic, Pastel, Ink, Gouache, Plaster","1451606400000"
"19mm x 50m 10","https://www.saatchiart.com/art/Painting-19mm-x-50m-10/126029/2055402/view","19mm x 50m 10","Dragomir Misina","United Kingdom","4","4","190","1577","16","Abstract","Acrylic","1400112000000"
"Plum pair","https://www.saatchiart.com/art/Painting-Plum-pair/885241/3538808/view","Plum pair","Jane Palmer","United Kingdom","8","8","155","18","2","Still Life","Oil","1492041600000"
"Floral Still Life 3.30","https://www.saatchiart.com/art/Painting-Floral-Still-Life-3-30/841947/3514531/view","Floral Still Life 3.30","Tammy Silbermann","Canada","8","10","195","101","1","Floral","Oil","1483228800000"
"Sacrifice","https://www.saatchiart.com/art/Painting-Sacrifice/67610/1229084/view","Sacrifice","Najzil Layin","Indonesia","11","15","245","704","13","Cartoon","Acrylic, Pencil","1262304000000"
"Healing Waters #15","https://www.saatchiart.com/art/Painting-Healing-Waters-15/704954/3479920/view","Healing Waters #15","Michal Mitak Mahgerefteh","United States","8","8","240","32","4","Abstract","Pastel","1483228800000"
"Before the Midsummer night","https://www.saatchiart.com/art/Painting-Before-the-Midsummer-night/780924/2517415/view","Before the Midsummer night","Laima Romberga","Latvia","15","19","300","168","7","Floral","Acrylic","1383177600000"
"Chance","https://www.saatchiart.com/art/Painting-Chance/588467/3201208/view","Chance","Urbano Espinosa","Spain","15","18","290","319","18","Abstract","Acrylic","1451606400000"
"19mm x 50m 7","https://www.saatchiart.com/art/Painting-19mm-x-50m-7/126029/2047525/view","19mm x 50m 7","Dragomir Misina","United Kingdom","4","4","190","1547","23","Abstract","Acrylic","1398902400000"
"Sunrise no 1","https://www.saatchiart.com/art/Painting-Sunrise-no-1/847232/2880547/view","Sunrise no 1","Rachel Smith","United States","3","3","135","551","29","Landscape","Oil","1446854400000"
"pollution","https://www.saatchiart.com/art/Painting-pollution/335494/2665526/view","pollution","SANTHOSH C H","India","12","9","225","975","36","Abstract","Ink, Watercolor","1275436800000"
"Blue Green Abstract","https://www.saatchiart.com/art/Painting-Blue-Green-Abstract/769311/2972789/view","Blue Green Abstract","Beverley Smith Martin","South Africa","31","36","295","297","14","Abstract","Acrylic","1459728000000"
"I should never have come","https://www.saatchiart.com/art/Painting-I-should-never-have-come/481136/2595457/view","I should never have come","William Wright","United States","12","12","215","819","38","Beach","Oil","1440288000000"
"Monarch Study","https://www.saatchiart.com/art/Painting-Monarch-Study/833929/3494230/view","Monarch Study","Elizabeth Becker","United States","10","8","175","50","6","Nature","Watercolor","1483228800000"
"abstract N° 1507","https://www.saatchiart.com/art/Painting-abstract-N-1507/91068/2915942/view","abstract N° 1507","Koen Lybaert","Belgium","9","7","295","1304","22","Abstract","Oil","1459987200000"
"Shipwreck 2.","https://www.saatchiart.com/art/Painting-Shipwreck-2/669333/3197768/view","Shipwreck 2.","Davide Cambria","Italy","7","7","135","384","13","Abstract","Oil","1451606400000"
"Adidas Android Orange Chaos","https://www.saatchiart.com/art/Painting-Adidas-Android-Orange-Chaos/877065/3036517/view","Adidas Android Orange Chaos","Andy Shaw","United Kingdom","16","23","250","1024","18","Abstract","Acrylic, Pencil","1451606400000"
"Cream II (Series of 3)","https://www.saatchiart.com/art/Painting-Cream-II-Series-of-3/398088/2606509/view","Cream II (Series of 3)","Kathryn Neale","United States","10","10","295","650","38","Abstract","Paint, Acrylic, Household, Paper","1428710400000"
"Great White Shark Attack","https://www.saatchiart.com/art/Painting-Great-White-Shark-Attack/877065/3164829/view","Great White Shark Attack","Andy Shaw","United Kingdom","7","7","295","1222","43","Beach","Acrylic","1451606400000"
"Dream house","https://www.saatchiart.com/art/Painting-Dream-house/759417/2413695/view","Dream house","Xin Xia","Netherlands","7","7","135","1337","58","Architecture","Oil","1420070400000"
"White Christmas","https://www.saatchiart.com/art/Painting-White-Christmas/847771/3315563/view","White Christmas","Arun Prem","United States","20","16","235","171","5","Abstract","Oil","1451606400000"
"Talk talk","https://www.saatchiart.com/art/Painting-Talk-talk/715399/3435999/view","Talk talk","Izabella Hornung","United Kingdom","16","11","280","84","9","People","Acrylic","1483228800000"
"The Starry Night","https://www.saatchiart.com/art/Painting-The-Starry-Night/935150/3264022/view","The Starry Night","Pritanshee Singh","India","16","12","290","184","9","Nature","Acrylic","1451606400000"
"Olives","https://www.saatchiart.com/art/Painting-Olives/436578/2383376/view","Olives","Lisa Parenteau-DePinto","United States","10","8","185","410","10","Cuisine","Oil","1426265158000"
"""Flyfishing on Black Brooke""","https://www.saatchiart.com/art/Painting-Flyfishing-on-Black-Brooke/329921/2482456/view","""Flyfishing on Black Brooke""","Allen Jones","United States","8","10","245","688","7","Fish","Oil","1432512000000"
"Graded Cardboard Pressing","https://www.saatchiart.com/art/Painting-Graded-Cardboard-Pressing/796475/2836989/view","Graded Cardboard Pressing","Kimberly Balla","United States","10","10","390","179","8","Abstract","Oil, Acrylic, Metallic Pigment","1421971200000"
"a series of Daily Drawing: Mindscape","https://www.saatchiart.com/art/Painting-a-series-of-Daily-Drawing-Mindscape/903381/3111799/view","a series of Daily Drawing: Mindscape","Jungwoo Hong","South Korea","7","7","140","299","18","Abstract","Acrylic, Ballpoint Pen","1451606400000"
"design1WW","https://www.saatchiart.com/art/Painting-design1WW/798571/2726672/view","design1WW","Ron Halfant","United States","20","16","249","715","23","Abstract","Acrylic","1420070400000"
"Moonlight along the River bank","https://www.saatchiart.com/art/Painting-Moonlight-along-the-River-bank/659782/2363819/view","Moonlight along the River bank","Errol McKinson","United States","12","12","295","616","12","Performing Arts","Oil","1403136000000"
"Making plans for Nigel","https://www.saatchiart.com/art/Painting-Making-plans-for-Nigel/152533/3026827/view","Making plans for Nigel","Christopher Keyte","United Kingdom","15","15","310","149","20","Abstract","Oil","1325376000000"
"design27","https://www.saatchiart.com/art/Painting-design27/798571/2883282/view","design27","Ron Halfant","United States","20","16","285","422","25","Abstract","Acrylic","1451606400000"
"The Core","https://www.saatchiart.com/art/Painting-The-Core/730419/2154690/view","The Core","Ingrid Stiehler","Germany","39","27","440","917","11","Culture","Acrylic","1356998400000"
"Spring in the mountains","https://www.saatchiart.com/art/Painting-Spring-in-the-mountains/781260/2498476/view","Spring in the mountains","Ivan Vorobiov","Ukraine","11","15","205","449","13","Nature","Oil","1401494400000"
"SiblingⅢ-ⅱ","https://www.saatchiart.com/art/Painting-Sibling/854469/3256857/view","SiblingⅢ-ⅱ","Yu ah young","South Korea","10","8","202","83","9","Body","Oil","1451606400000"
"K.N.","https://www.saatchiart.com/art/Painting-K-N/299465/2754941/view","K.N.","joao teixeira","Portugal","15","15","255","1983","46","Nude","Oil","1420070400000"
"classic bamboos","https://www.saatchiart.com/art/Painting-classic-bamboos/767851/3039710/view","classic bamboos","pechane sumie","France","11","15","200","242","9","Nature","Ink","1451606400000"
"Insomnia: Vase of Flowers Against Salmon Pink Wall","https://www.saatchiart.com/art/Painting-Insomnia-Vase-of-Flowers-Against-Salmon-Pink-Wall/385295/3099884/view","Insomnia: Vase of Flowers Against Salmon Pink Wall","Lara Meintjes","United States","14","11","290","476","26","Still Life","Gouache, Acrylic, Paint, Wax","1451606400000"
"Emerging","https://www.saatchiart.com/art/Painting-Emerging/795346/3192090/view","Emerging","jelena b","United States","11","14","195","551","45","Abstract","Oil","1451606400000"
"Tropical Isleand","https://www.saatchiart.com/art/Painting-Tropical-Isleand/394684/2748943/view","Tropical Isleand","Rafal Kilimnik","Poland","12","12","290","753","34","Landscape","Oil","1449705600000"
"Apotheon 3","https://www.saatchiart.com/art/Painting-Apotheon-3/58313/2354349/view","Apotheon 3","Mark Fearn","United Kingdom","6","9","270","638","13","Abstract","Acrylic, Ink","1424044800000"
"Unearthed","https://www.saatchiart.com/art/Painting-Unearthed/677133/3521049/view","Unearthed","Jenna Langford","Canada","5","3","260","184","4","Botanic","Watercolor","1490140800000"
"Kneeling....","https://www.saatchiart.com/art/Painting-Kneeling/481815/3227905/view","Kneeling....","Konrad Biro","","9","7","270","477","21","Nude","Oil","1451606400000"
"City In Fog #4","https://www.saatchiart.com/art/Painting-City-In-Fog-4/872587/3413613/view","City In Fog #4","Cristina Getson","Canada","12","12","295","39","10","Abstract","Acrylic","1451606400000"
"""Old Tree Hideout""","https://www.saatchiart.com/art/Painting-Old-Tree-Hideout/856187/2847977/view","""Old Tree Hideout""","Inge Wright","United States","8","8","290","327","4","Animal","Paint","1420070400000"
"Disused Depot four","https://www.saatchiart.com/art/Painting-Disused-Depot-four/10411/1878959/view","Disused Depot four","Simon Hopkinson","United Kingdom","11","15","290","2330","40","Landscape","Acrylic","1388534400000"
"Dunlins 3","https://www.saatchiart.com/art/Painting-Dunlins-3/408664/3378021/view","Dunlins 3","Sandra Vick","United Kingdom","12","12","290","352","41","Animal","Acrylic","1420070400000"
"Sail Boats Harbor Oil painting on Canvas One of a kind Signed Certificate of Authenticity","https://www.saatchiart.com/art/Painting-Sail-Boats-Harbor-Oil-painting-on-Canvas-One-of-a-kind-Signed-Certificate-of-Authenticity/503607/2514414/view","Sail Boats Harbor Oil painting on Canvas One of a kind Signed Certificate of Authenticity","Vahe Yeremyan","United States","8","10","210","1140","18","Seascape","Oil","1431820800000"
"JELLYFISH","https://www.saatchiart.com/art/Painting-JELLYFISH/813961/2614172/view","JELLYFISH","Berta Cabestany","Spain","11","7","140","792","34","Abstract","marbling","1437523200000"
"Street in London","https://www.saatchiart.com/art/Painting-Street-in-London/957370/3383599/view","Street in London","Fernando Aguayo","Spain","16","12","255","82","7","Cities","Watercolor","1356998400000"
"Love birds in romantic sunset","https://www.saatchiart.com/art/Painting-Love-birds-in-romantic-sunset/763933/3387764/view","Love birds in romantic sunset","Arun K","United States","10","8","185","84","5","Floral","Acrylic","1451606400000"
"Fire","https://www.saatchiart.com/art/Painting-Fire/403427/3435682/view","Fire","Anna Sidi-Yacoub","Ireland","11","11","195","322","23","Abstract","Airbrush, Acrylic, Oil, Resin","1483228800000"
"Faith 2","https://www.saatchiart.com/art/Painting-Faith-2/961643/3496544/view","Faith 2","Nicola Tingey","Vietnam","11","11","145","49","7","Abstract","Acrylic, Pastel, Graphite","1451606400000"
"The Land","https://www.saatchiart.com/art/Painting-The-Land/786474/2614792/view","The Land","Rachel Rea","United Kingdom","5","7","145","459","28","Landscape","Acrylic","1437436800000"
"Spring in Poznan II","https://www.saatchiart.com/art/Painting-Spring-in-Poznan-II/919662/3355637/view","Spring in Poznan II","Anastasia Chernysheva","Netherlands","11","16","140","116","7","Landscape","Watercolor","1167609600000"
"Landing II","https://www.saatchiart.com/art/Painting-Landing-II/828231/3439049/view","Landing II","Hele Ēna Āne","Latvia","25","18","200","58","9","Abstract","Watercolor","1483228800000"
"Nines 3","https://www.saatchiart.com/art/Painting-Nines-3/24636/3349161/view","Nines 3","Michael Pfleghaar","United States","11","14","240","207","6","Abstract","Tempera","1451606400000"
"Before the storm.","https://www.saatchiart.com/art/Painting-Before-the-storm/334312/2169375/view","Before the storm.","H Schlagen","Germany","19","15","290","619","20","Seascape","Ink","1411603200000"
"Colour Study","https://www.saatchiart.com/art/Painting-Colour-Study/971625/3512528/view","Colour Study","Georgina Harris","United Kingdom","18","24","245","28","0","Water","Oil","1483228800000"
"cow 2","https://www.saatchiart.com/art/Painting-cow-2/335494/2650295/view","cow 2","SANTHOSH C H","India","9","12","225","806","21","Animal","Ink, Watercolor","1341187200000"
"Blue Sky With the Sun","https://www.saatchiart.com/art/Painting-Blue-Sky-With-the-Sun/436778/2574014/view","Blue Sky With the Sun","János Huszti","Hungary","11","9","245","2097","30","Landscape","Oil","1438732800000"
"Rustic Peace","https://www.saatchiart.com/art/Painting-Rustic-Peace/776917/2862311/view","Rustic Peace","Omar Wysong","United States","24","22","320","554","9","Abstract","Enamel, Metal, Paint","1451606400000"
"No title","https://www.saatchiart.com/art/Painting-No-title/958072/3499984/view","No title","Elena Markocheva","United Kingdom","9","10","205","29","6","Nature","Oil","1483228800000"
"Autumn's Last Leaves","https://www.saatchiart.com/art/Painting-Autumn-s-Last-Leaves/23567/3530367/view","Autumn's Last Leaves","Phyllis Mahon","United Kingdom","17","12","215","19","1","Women","Watercolor","1483228800000"
"Briar in field","https://www.saatchiart.com/art/Painting-Briar-in-field/960229/3392934/view","Briar in field","Marina Mikhno","Russia","5","11","270","59","6","Landscape","Oil","1451606400000"
"Thoughts of a motel board #1","https://www.saatchiart.com/art/Painting-Thoughts-of-a-motel-board-1/396480/2632204/view","Thoughts of a motel board #1","Marton Bende","Hungary","27","19","330","1646","15","People","Acrylic, Digital, Oil, Paint","1442793600000"
"Grandfather","https://www.saatchiart.com/art/Painting-Grandfather/725911/2307561/view","Grandfather","Dwight Luna","United States","9","9","330","618","17","Family","Acrylic","1420243200000"
"Hydrangea","https://www.saatchiart.com/art/Painting-Hydrangea/870136/3106893/view","Hydrangea","Joy Nguyen","United States","10","14","215","156","11","Abstract","Oil, Ink","1451606400000"
"19mm x 50m 12","https://www.saatchiart.com/art/Painting-19mm-x-50m-12/126029/2055424/view","19mm x 50m 12","Dragomir Misina","United Kingdom","4","4","190","1348","14","Abstract","Acrylic","1400112000000"
"Untitled","https://www.saatchiart.com/art/Painting-Untitled/560695/2967388/view","Untitled","Jon Cooper","Canada","28","22","300","289","8","Women","Acrylic, Spray Paint","1462665600000"
"Book 10 #46","https://www.saatchiart.com/art/Painting-Book-10-46/599547/2550548/view","Book 10 #46","Heather Goodwind","United States","8","5","290","1498","29","Floral","Acrylic, Ink, Graphite, Pencil","1185840000000"
"threesome at sea","https://www.saatchiart.com/art/Painting-threesome-at-sea/301241/3110377/view","threesome at sea","Kunstbetrieb Alujevic","Germany","15","11","245","499","16","Beach","Watercolor, Pastel, Pencil","1451606400000"
"Snippet #22","https://www.saatchiart.com/art/Painting-Snippet-22/779196/3017368/view","Snippet #22","Susie White","United States","5","9","290","166","6","Abstract","Acrylic, Resin","1420070400000"
"Still Life with Teapot and Lemons","https://www.saatchiart.com/art/Painting-Still-Life-with-Teapot-and-Lemons/313699/2335636/view","Still Life with Teapot and Lemons","Frederic Belaubre","France","7","8","135","1745","36","Still Life","Watercolor","570931200000"
"Teal Blanket","https://www.saatchiart.com/art/Painting-Teal-Blanket/214499/3134254/view","Teal Blanket","Bess Cutler","United States","11","8","185","236","9","Nude","Acrylic, Graphite","1451606400000"
"Landscape #21","https://www.saatchiart.com/art/Painting-Landscape-21/469769/3050466/view","Landscape #21","Anthony Shechtman","United States","5","7","240","196","5","Landscape","Oil","1451606400000"
"Peaches","https://www.saatchiart.com/art/Painting-Peaches/757238/3493884/view","Peaches","ANNE BAUDEQUIN","France","6","10","260","80","3","Still Life","Oil","1451606400000"
"19mm x 50m 20","https://www.saatchiart.com/art/Painting-19mm-x-50m-20/126029/2060679/view","19mm x 50m 20","Dragomir Misina","United Kingdom","4","4","190","1433","19","Abstract","Acrylic","1401580800000"
"Posy III","https://www.saatchiart.com/art/Painting-Posy-III/416637/3385951/view","Posy III","Kimberley Bruce","Canada","9","6","135","179","20","Abstract","Watercolor","1483228800000"
"Sunflowers","https://www.saatchiart.com/art/Painting-Sunflowers/771034/3068621/view","Sunflowers","Marina Gorkaeva","Russia","16","11","290","193","6","Botanic","Acrylic, Tempera, Gouache","1451606400000"
"Still life NO.1","https://www.saatchiart.com/art/Painting-Still-life-NO-1/938823/3312527/view","Still life NO.1","leo chan","Hong Kong","23","19","219","300","21","Still Life","Oil","1420070400000"
"The Wanderer","https://www.saatchiart.com/art/Painting-The-Wanderer/419137/3510028/view","The Wanderer","paul edmondson","United Kingdom","15","11","265","42","3","People","Oil, Acrylic, sand","1483228800000"
"Trasparenze","https://www.saatchiart.com/art/Painting-Trasparenze/750986/3330418/view","Trasparenze","Umberto Papale","Italy","13","16","270","227","6","Abstract","Watercolor","1420070400000"
"A LINE IS A DOT THAT WENT FOR A WALK (panel 11)","https://www.saatchiart.com/art/Painting-A-LINE-IS-A-DOT-THAT-WENT-FOR-A-WALK-panel-11/856956/2843606/view","A LINE IS A DOT THAT WENT FOR A WALK (panel 11)","Sixfold Collective","United States","8","8","240","106","3","Abstract","Acrylic, Ink, charcoal, glitter","1330560000000"
"Running Escapes II","https://www.saatchiart.com/art/Painting-Running-Escapes-II/388106/3274125/view","Running Escapes II","Catherine Perreira","Trinidad and Tobago","10","12","295","86","8","Nature","Acrylic","1451606400000"
"Vista (11)","https://www.saatchiart.com/art/Painting-Vista-11/314224/2286484/view","Vista (11)","Ad van Riel","Netherlands","5","14","190","1225","20","Landscape","Acrylic, Oil","1344470400000"
"Reflection","https://www.saatchiart.com/art/Painting-Reflection/849907/2817672/view","Reflection","Vanessa Sharp Multon","United States","12","12","195","403","30","Abstract","Acrylic","1451606400000"
"Pink and Crimson","https://www.saatchiart.com/art/Painting-Pink-and-Crimson/792144/3313475/view","Pink and Crimson","Elyce Abrams","United States","12","12","290","211","8","Abstract","Acrylic, Spray Paint","1451606400000"
"Prepared Mind 16","https://www.saatchiart.com/art/Painting-Prepared-Mind-16/58313/2423819/view","Prepared Mind 16","Mark Fearn","United Kingdom","9","8","280","1404","35","Abstract","Oil, Acrylic, Ink","1428624000000"
"Sans Titre","https://www.saatchiart.com/art/Painting-Sans-Titre/651434/3000936/view","Sans Titre","Rodrigue Semabia","United States","6","6","140","453","18","Abstract","Enamel, Acrylic","1451606400000"
"Single White Rose","https://www.saatchiart.com/art/Painting-Single-White-Rose/857122/3448840/view","Single White Rose","Wes Karchut","United States","11","9","135","58","2","Floral","Watercolor","1483228800000"
"Ascend","https://www.saatchiart.com/art/Painting-Ascend/797341/3211184/view","Ascend","Mari Lynch","United Kingdom","10","13","200","250","10","Seascape","Oil","1451606400000"
"rabbit 14","https://www.saatchiart.com/art/Painting-rabbit-14/335494/2893125/view","rabbit 14","SANTHOSH C H","India","9","12","290","983","37","Animal","Ink, Watercolor","1452729600000"
"little salmon white rose","https://www.saatchiart.com/art/Painting-little-salmon-white-rose/840818/2761653/view","little salmon white rose","michaela knittelfelder-lang","Austria","11","9","280","455","22","Floral","Oil","1325376000000"
"Canyons","https://www.saatchiart.com/art/Painting-Canyons/574303/2850149/view","Canyons","Nestor Toro","United States","10","10","240","1375","48","Abstract","Acrylic","1451606400000"
"Totterdown at Sunset","https://www.saatchiart.com/art/Painting-Totterdown-at-Sunset/10411/1990498/view","Totterdown at Sunset","Simon Hopkinson","United Kingdom","7","19","290","2098","17","Landscape","Acrylic","1293840000000"
"Kyle","https://www.saatchiart.com/art/Painting-Kyle/651434/3141245/view","Kyle","Rodrigue Semabia","United States","10","8","145","398","13","Abstract","Acrylic, Enamel, Gesso","1451606400000"
"Original oilpainting Sea","https://www.saatchiart.com/art/Painting-Original-oilpainting-Sea/799797/2587569/view","Original oilpainting Sea","Natalia Marinych","Russia","19","15","300","516","10","Seascape","Oil","1388534400000"
"Abstract winter landscape metallic gold, white and earth tones painting""Forget me not""","https://www.saatchiart.com/art/Painting-Abstract-winter-landscape-metallic-gold-white-and-earth-tones-painting-Forget-me-not/720593/3438564/view","Abstract winter landscape metallic gold, white and earth tones painting""Forget me not""","Henrieta Angel","United States","20","16","325","280","29","Abstract","Acrylic","1451433600000"
"Prepared Mind 103","https://www.saatchiart.com/art/Painting-Prepared-Mind-103/58313/2422730/view","Prepared Mind 103","Mark Fearn","United Kingdom","5","9","240","1045","17","Abstract","Acrylic, Oil","1427932800000"
"Canis 7","https://www.saatchiart.com/art/Painting-Canis-7/700719/2864431/view","Canis 7","Will Eskridge","United States","10","8","145","402","20","Animal","Spray Paint","1454630400000"
"Crisscrossing","https://www.saatchiart.com/art/Painting-Crisscrossing/870608/3326037/view","Crisscrossing","Betty Franks Krause","United States","11","14","280","112","7","Abstract","Acrylic","1451606400000"
"Frost","https://www.saatchiart.com/art/Painting-Frost/8619/3104735/view","Frost","Lisa Carney","Canada","6","6","135","543","32","Abstract","Acrylic","1451606400000"
"Still Life with Pomegranate, Original oil Painting, Classic art, One of a kind, Artist Davit Davtyan","https://www.saatchiart.com/art/Painting-Still-Life-with-Pomegranate-Original-oil-Painting-Classic-art-One-of-a-kind-Artist-Davit-Davtyan/889704/3087111/view","Still Life with Pomegranate, Original oil Painting, Classic art, One of a kind, Artist Davit Davtyan","Vayer Art","United States","8","12","270","603","14","Still Life","Oil","1451606400000"
"Logos 46","https://www.saatchiart.com/art/Painting-Logos-46/313699/3321864/view","Logos 46","Frederic Belaubre","France","16","11","225","311","8","Abstract","Acrylic","1451606400000"
"The sea touching the beach","https://www.saatchiart.com/art/Painting-The-sea-touching-the-beach/56712/1877791/view","The sea touching the beach","Nelly van Nieuwenhuijzen","Netherlands","11","11","240","2356","69","Beach","Acrylic","1356998400000"
"EXCHANGES","https://www.saatchiart.com/art/Painting-EXCHANGES/6147/3274998/view","EXCHANGES","Philip Alsican","France","11","8","240","257","13","Abstract","Acrylic, Conte, Watercolor, Pastel","1451606400000"
"Apotheon 9","https://www.saatchiart.com/art/Painting-Apotheon-9/58313/2354656/view","Apotheon 9","Mark Fearn","United Kingdom","12","16","290","889","21","Abstract","Acrylic, Ink","1423958400000"
"Street Study #2","https://www.saatchiart.com/art/Painting-Street-Study-2/811635/3483166/view","Street Study #2","Ollie Le Brocq","United Kingdom","7","7","172","56","13","Cities","Oil","1483228800000"
"Unrequited Valentine","https://www.saatchiart.com/art/Painting-Unrequited-Valentine/867774/3458927/view","Unrequited Valentine","Shellie Garber","United States","14","11","190","207","4","Love","Acrylic","1488240000000"
"Peonies","https://www.saatchiart.com/art/Painting-Peonies/891177/3031306/view","Peonies","Martin Cwitowcki","Ukraine","23","23","300","752","44","Botanic","Oil","1451606400000"
"Lunch","https://www.saatchiart.com/art/Painting-Lunch/825197/3040240/view","Lunch","Nata Zaikina","Czech Republic","8","11","185","342","8","Cats","Watercolor","1451606400000"
"One Day in July","https://www.saatchiart.com/art/Painting-One-Day-in-July/795346/2541843/view","One Day in July","jelena b","United States","20","16","270","1652","44","Abstract","Oil","1420070400000"
"The Red Tree","https://www.saatchiart.com/art/Painting-The-Red-Tree/780788/3093434/view","The Red Tree","Bolas Gauzy","","12","12","175","652","12","Tree","Oil","1451606400000"
"Elephas 2","https://www.saatchiart.com/art/Painting-Elephas-2/700719/3022494/view","Elephas 2","Will Eskridge","United States","10","8","145","652","14","Animal","Spray Paint","1451606400000"
"Untitled 2017","https://www.saatchiart.com/art/Painting-Untitled-2017/957158/3460176/view","Untitled 2017","Charlotte Daisy O'Shea","United Kingdom","12","9","190","65","3","Portrait","Pencil, Acrylic","1483228800000"
"Under the sea","https://www.saatchiart.com/art/Painting-Under-the-sea/25945/2104174/view","Under the sea","Abdullah Aydin Baykara","Turkey","10","9","290","980","27","Animal","Watercolor","1401062400000"
